movie,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
50068,,,4.5,,,,,,,,,,,,,,,,,,
58559,,,3.0,,,,,,,,,,4.5,,4.5,,,,,,
84236,,,4.0,,,,,,,,,,,,,,,,,,
34,,,,5.0,,,4.0,,,,,,,,3.0,,,,4.0,3.5,
112,,,,5.0,,,4.0,,,,,,,,2.5,,,,3.0,,
141,,,,5.0,4.0,,4.0,,,,,,,,,,,4.0,3.0,,
173,,,,3.0,,2.0,,,,,,,,,,,,,,,
260,,,,5.0,,,5.0,3.5,,,,,,,5.0,,3.5,3.0,4.0,1.5,
289,,,,4.0,,,,,,,,,,,,,,,,,
329,,,,3.0,,,3.0,,,,,,,,1.5,,,,3.0,,
380,,,,3.0,,,4.0,,,,,,,,4.0,,,,3.0,4.0,
431,,,,3.0,,,,,,,,,,,4.0,,4.5,,4.0,,
434,,,,4.0,,,,,,,,,,,3.0,,,,3.0,,
435,,,,1.0,,,,,,,,,,,1.0,,,,,,
440,,,,4.0,4.0,,,,,,,,,,2.5,,,,3.0,,
442,,,,4.0,,,,,,,,,,,1.0,,,,,,
464,,,,4.0,,,,,,,,,,,,,,,4.0,,
541,,,,5.0,,,4.0,,,,,,,,5.0,,5.0,,4.0,,
594,,,,5.0,,,4.0,,,,,,,1.0,2.5,,,,4.0,,
596,,,,5.0,,4.0,,,,,,,,,,,,,5.0,,
610,,,,4.0,,,3.0,,,,,,,,3.0,,,,4.0,,
858,,,,5.0,2.5,,,5.0,,,,,,,5.0,,5.0,,5.0,2.0,
903,,,,5.0,3.5,4.0,,,,,,,,,5.0,,5.0,,4.0,,
910,,,,4.0,,,,,,,,,,,2.5,,3.5,,,,
913,,,,5.0,,,,,,,,,,,4.0,,5.0,,5.0,,
919,,,,5.0,4.0,,,,,,,,3.5,,3.0,,,,,,
1011,,,,4.0,,,,,,,,,,,,,,,,,
1016,,,,4.0,,,,,,,,,,,,,,,,,
1022,,,,5.0,4.0,,,,,,,,,,,,,,4.0,,
1028,,,,5.0,,,,,,,,1.0,,,,,,,3.0,,
1030,,,,5.0,,,,,,,,,,,,,,,,,
1031,,,,5.0,,,,,,,,,,,,,,,,,
1032,,,,5.0,,,,,,,,2.0,,,,,,,,,
1033,,,,5.0,,,,,,,,,,,,,,,,,
1036,,,,5.0,,,3.0,,,3.0,,,,,4.0,,2.5,,4.0,,
1073,,,,5.0,,,3.0,,,,,,,,3.0,,,,4.0,,
1079,,,,5.0,,,4.0,,,,,,,,4.0,,2.5,,4.0,,
1089,,,,5.0,,,,,,3.0,,,,,4.0,,5.0,,4.0,,
1097,,,,5.0,,,3.0,,,,,,,,4.0,,,,5.0,1.5,
1125,,,,5.0,,,3.0,,,,,,,,,,,,,,
1127,,,,5.0,,,,,,4.0,,,,,4.0,,,,3.0,,
1136,,,,5.0,,,4.0,,,,,,,,2.5,,5.0,,5.0,4.5,
1194,,,,5.0,,,,,,,,,,,,,,,,,
1196,,,,5.0,,,5.0,3.5,,4.0,,,,4.0,5.0,,,,5.0,2.0,
1198,,,,5.0,,,5.0,4.0,,4.0,,,,,4.0,,,,4.0,4.5,
1200,,,,5.0,,,,,,4.0,,,,,4.0,,,,4.0,,
1206,,,,5.0,,,,,,,,,,,5.0,,5.0,,4.0,,
1208,,,,5.0,,,,,,,,,,,5.0,,,,5.0,,
1213,,,,5.0,,,,,,,,,,,3.0,,5.0,,5.0,,
1214,,,,5.0,,,,,,,,,,,4.0,,,,4.0,,
1219,,,,5.0,,,,4.0,,,,,,,3.0,,,,5.0,,
1220,,,,5.0,,,4.0,,,3.0,,5.0,,,1.0,,4.0,,5.0,,
1222,,,,5.0,,,,,,,,,,,4.0,,,,5.0,,
1225,,,,5.0,,,5.0,4.0,,,,,,,4.0,,,,5.0,,
1230,,,,5.0,,,,,,,,2.0,,,3.0,,5.0,,4.0,,
1240,,,,5.0,,,4.0,,,4.0,,,,,3.0,,3.0,,4.0,,
1243,,,,5.0,,,,,,,,,,,2.0,,,,,,
1257,,,,5.0,,,,,,,,,,,,,,,5.0,,
1258,,,,5.0,,,,4.0,,,,,,,4.0,,3.5,,5.0,,
1259,,,,4.0,,4.5,,4.0,,,,,4.0,,3.0,,,,3.0,,
1265,,,,5.0,,,,3.0,,,,,2.5,,4.0,,4.5,,4.0,,
1270,,,,5.0,,,3.0,4.0,,,,,,,5.0,,4.5,,5.0,3.5,
1278,,,,5.0,,,3.0,,,,,,,,,,,,4.0,,
1282,,,,5.0,,,,,,,,,,,,,,,4.0,,
1285,,,,4.0,,4.5,,,,,,,,,,,,,3.0,,
1288,,,,5.0,,,4.0,,,,,,,,4.0,,,,5.0,,
1291,,,,5.0,,,3.0,4.0,,4.0,,,,,4.0,,,,3.0,,
1298,,,,4.0,,,3.0,,,,,,,,,,4.5,,1.0,,
1307,,,,4.0,4.0,,3.0,,,,,,,,5.0,,,,3.0,,
1332,,,,4.0,,,,,,,,,,,,,,,2.0,,
1334,,,,5.0,,,,,,,,,,,2.0,,,,3.0,,
1344,,,,5.0,,,,,,,,,,,,,,,5.0,,
1356,,,,4.0,,,,,,,,,,,2.0,,,,3.0,,
1372,,,,3.0,,,3.0,,,,,,,,,,,,2.0,,
1374,,,,4.0,,,4.0,,,,,1.0,,,,,,,3.0,,
1376,,,,3.0,,,3.0,,,,,,,,,,,,3.0,,
1377,,,,3.0,,,,,,,,,,,3.0,,,,3.0,,
1380,,,,5.0,5.0,,,,,,,,,,2.5,,,,3.0,,
1387,,,,5.0,,,,4.0,,,,4.0,,,4.0,,,,5.0,,
1388,,,,4.0,,,,,,,,,,,,,,,1.0,,
1396,,,,5.0,,,,,,,,,,,4.0,,3.0,,3.0,,
1544,,,,3.0,3.5,,,,,,,,,,1.0,,,,,,
1663,,,,4.0,,,,,,,,,,,3.0,,,,,,
1674,,,,5.0,,,,4.0,,,,,,,,,4.5,,,,
1805,,,,1.0,,,,,,,,,,,3.0,,,,,,
1858,,,,5.0,,,,,,,,,,,,,,,,,
1917,,,,4.0,,,,,,,,,,,2.0,,,,,,
1918,,,,2.0,,,,,,,3.0,,3.0,,,,,,,,
1954,,,,5.0,,,,,,,,,,,3.0,,,,,,
1961,,,,5.0,4.0,,,5.0,,,,,4.0,,3.5,3.5,,,,,
1967,,,,3.0,,,,,,,,,,,,,,,,,
1968,,,,5.0,4.0,,,,,,,,,,4.0,,,,,,
1994,,,,5.0,,,,,,,,,,,2.5,,,,,,
2000,,,,5.0,,,,,,,,,,,3.0,,,,,,
2002,,,,3.0,,,,,,,,,,,,,,,,,
2003,,,,2.0,,,,,,,,,,,3.0,,,,,,
2005,,,,5.0,,,,,,,,,,,4.0,,,,,,
2014,,,,4.0,,,,,,,,,,,,,,,,,
2018,,,,5.0,,,,,,,,,,,2.0,,,,,,
2020,,,,4.0,,,,,,,,,,,2.5,,,,,,
2021,,,,4.0,,,,,,,,,,,,,3.5,,,,
2033,,,,4.0,,,,,,,,,,,,,,,,,
2034,,,,4.0,,,,,,,,,,,,,,,,,
2046,,,,5.0,,,,,,,,,,,,,,,,,
2054,,,,3.0,,,,,,,,,,,2.0,,,,,,
2064,,,,5.0,,,,,,,,,,,4.5,,,,,,
2078,,,,5.0,,,,,,,,,,,,,,,,,
2080,,,,5.0,,,,,,,,,,,,,,,,,
2081,,,,4.0,5.0,,,,,,,,,,,,,,,,
2085,,,,5.0,,,,,,,,,,,,,,,,,
2086,,,,5.0,,,,,,,,,,,,,,,,,
2087,,,,5.0,,,,,,,,,,,,,,,,,
2091,,,,5.0,,,,,,,,,,,,,,,,,
2094,,,,4.0,,,,,,,,,,,,,,,,,
2096,,,,5.0,,,,,,,,,,,,,,,,,
2100,,,,5.0,,,,3.0,,,,,,,2.0,,,,,,
2102,,,,5.0,,,,,,,,,,,,,,,,,
2109,,,,5.0,,,,,,,,,,,,,,,,,
2110,,,,3.0,,,,,,,,,,,,,3.5,,,,
2114,,,,5.0,,,,,,,,,,,,,,,,,
2115,,,,5.0,,,,,,,,,,,4.0,,,,,,
2124,,,,4.0,,,,,,,,,,,2.0,,,,,,
2140,,,,5.0,,,,,4.0,,,,,,3.0,,,,,,
2141,,,,4.0,,,,,,,,,,,,,,,,,
2143,,,,4.0,,,,,,,,,,,,,,,,,
2144,,,,5.0,,,,,,,,,,,,,,,,,
2161,,,,5.0,,,,,,,,,,,3.0,,,,,,
2174,,,,5.0,,4.0,,,,,,,,,4.0,,,,,,
2194,,,,5.0,,,,4.5,,,,,,,4.0,,,,,,
2248,,,,4.0,,,,,,,,,,,3.5,,,,,,
2263,,,,3.0,,,,,,,,,,,,,,,,,
2268,,,,5.0,,,,,3.0,,,,,,1.0,,,,,,
2289,,,,5.0,,,,,,,,,,,4.0,,,,,,
2348,,,,4.0,,,,,,,,,,,,,,,,,
2371,,,,4.0,,,,,,,,,,,3.5,,,,,,
2403,,,,4.0,,,,,,,,,,,,,,,,,
2406,,,,5.0,,,,,,4.0,,,,,3.5,,,,,,
2409,,,,4.0,,,,,,,,,,,,,,,,,
2454,,,,5.0,,,,,,,,,,,,,,,,,
2467,,,,5.0,,,,,,,,,,,1.0,,5.0,,,,
2551,,,,4.0,,,,,,,,,,,,,5.0,,,,
2616,,,,1.0,,,,,,,,,,,,,,,,,
2628,,,,5.0,,,,,3.0,,,,,3.0,2.5,,,,,,
2640,,,,5.0,,,,,,,,,,,4.0,,,,,,
2659,,,,3.0,,,,,,,,,,,,,,,,,
2683,,,,4.0,4.0,,,,,,,,,2.0,1.0,,3.0,,,,
2699,,,,4.0,,,,,,,,,,,3.0,,,,,,
2723,,,,5.0,,3.0,,,,,,,,,1.0,,,,,,
2734,,,,4.0,,,,,,,,,,,,,,,,,
2770,,,,1.0,3.5,,,2.5,,,,,,,4.0,,,,,,
2788,,,,5.0,,,,,,,,,,,,,,,,,
2791,,,,5.0,,,,4.5,,,,,,,4.0,,2.0,,,,
2795,,,,4.0,,,,,,,,,,,3.5,,,,,,
2797,,,,5.0,,,,3.5,,,,,,,4.0,3.0,,,,,
2804,,,,5.0,,,,3.5,,,,,3.0,,,,,,,,
2822,,,,3.0,,,,,,,,,,,,,,,,,
2867,,,,3.0,,,,,,,,,,,,,,,,,
2872,,,,5.0,,,,,,,,,,,,,,,,,
2877,,,,5.0,,,,,,,,,,,,,,,,,
2902,,,,2.0,,,,,,,,,,,,,,,,,
2903,,,,1.0,,,,,,,,,,,,,,,,,
2916,,,,4.0,,,,,,,,,,,4.0,,4.0,,,,
2918,,,,5.0,3.5,,,5.0,,,,,3.0,,4.0,,3.0,,,,
2986,,,,3.0,,,,,,,,,,,,,,,,,
2987,,,,5.0,,,,,,,,,,,4.0,,,,,,
2991,,,,5.0,,,,,,,,,,,,,,,,,
3016,,,,3.0,,,,,,,,,,,,,,,,,
3034,,,,5.0,,,,,,,,,,,,,,,,,
3039,,,,4.0,,,,,,,,,,,4.0,,,,,,
3040,,,,5.0,,,,,,,,,,,,,,,,,
3060,,,,5.0,,,,,,,,,,,4.0,,,,,,
3071,,,,4.0,,,,,,,,,,,,,,,,,
3101,,,,4.0,,,,,,,,,,,4.0,,,,,,
3104,,,,4.0,,,,,,,,,,,4.0,,,,,,
3108,,,,5.0,,,,,,,,,,,4.0,,,,,,
3169,,,,4.0,,,,,,,,,,,,,,,,,
3208,,,,2.0,,,,,,,,,,,,,,,,,
3210,,,,4.0,,,,,,,,,,,5.0,,,,,,
3251,,,,5.0,,,,,,,,,,,,,,,,,
3255,,,,4.0,,,,,,,,,3.5,,2.0,,,,,,
3263,,,,3.0,,,,,,,,,,,,,,,,,
3265,,,,5.0,,,,,,,,,,,4.0,,,,,,
4006,,,,2.0,,,,,,,,,,,3.0,,,,,,
3,,,,,4.0,,,,,,,,,,,,,,3.0,,
104,,,,,4.0,,3.0,,,,,,,,1.0,,,,,,
231,,,,,3.5,,,,,,,,,,3.5,,,,3.0,1.0,
277,,,,,4.5,,,,,,,,4.0,,,,,,,,
344,,,,,3.5,,,,,3.0,,,,,2.0,,,,3.0,1.0,
597,,,,,5.0,,,,,,,,,,2.5,,,,3.0,4.0,
788,,,,,3.5,,,,,,,,,,1.5,,,3.0,3.0,,
1035,,,,,5.0,,,,,,,,,,2.0,,,,4.0,,
1193,,,,,3.0,,,,,,,,,,5.0,,4.5,,4.0,,
1221,,,,,2.5,,,,,,,,,,5.0,,5.0,,5.0,,
1247,,,,,4.0,,,,,,,,,,5.0,,,,3.0,1.0,
1393,,,,,3.5,,,3.0,,,,,,,3.5,,,,3.0,,
1485,,,,,4.5,,,,,,,,,,3.0,,,,,,
1682,,,,,4.0,,,,5.0,,,,,,2.0,,,,,,
1777,,,,,4.0,,,5.0,,,,,,,2.0,,,,,,
1784,,,,,4.5,,,,5.0,,,,,,3.0,,,,,,
1923,,,,,4.5,,,,,5.0,,,,,4.5,,3.0,,,,
1997,,,,,3.5,,,,,,,,,,5.0,,4.0,,,,
2023,,,,,1.5,,,,,,,,,,,,4.0,,,,
2273,,,,,4.0,,,,3.0,,,,,,2.5,,,,,,
2355,,,,,3.5,,,,,,,2.0,4.0,2.0,2.0,,,,,,
2424,,,,,4.0,,,,,,,,,,1.5,,,,,,
2502,,,,,3.5,3.5,,5.0,,,,,,,5.0,,1.0,,,,
2706,,,,,4.0,,,,,,,,,,3.0,5.0,,,,,
2997,,,,,3.5,,,,,,,,,,5.0,,5.0,,,,
3114,,,,,3.5,4.0,,,,,,,3.0,4.0,1.0,,,,,,
3176,,,,,3.5,,,,,,,3.0,,,2.0,,,,,,
3408,,,,,4.0,,,,,,,4.0,,,2.0,,2.5,,,,
3753,,,,,3.5,,,,,,,,,,,,,,,,
3897,,,,,4.5,,,,,,,,,,3.0,,,,,,
3948,,,,,3.5,,,4.0,,,,,,,5.0,,,,,,
4014,,,,,4.0,,,,,,,,,,2.0,3.5,,,,,
4018,,,,,4.0,,,,,,,,,,1.0,,,,,,
4022,,,,,3.5,,,,,,,,,,3.0,,,,,,
4025,,,,,4.5,,,,,,,,,,1.0,,,,,,
4306,,,,,3.5,,,,,,,,4.0,,1.0,,3.5,,,,
4308,,,,,3.5,,,,,,,,,,2.0,,,,,,
4447,,,,,4.5,,,,,,,,,,1.5,,,,,,
4718,,,,,3.5,,,,,,,,3.5,,4.0,4.5,,,,,
4963,,,,,3.0,,,4.5,,,,,,,4.0,,4.0,,,,
4995,,,,,4.5,,,3.5,,,,,,,1.0,4.5,3.0,,,,
5266,,,,,3.5,,,,,,,,,,1.0,,3.0,,,,
5299,,,,,4.5,,,,,,,,,,0.5,,0.5,,,,
5464,,,,,4.0,,,4.0,,,,,,,0.5,,4.0,,,,
5679,,,,,4.5,,,,,,,,,,4.0,,4.0,,,,
5816,,,,,3.0,,,,,,,,,,1.0,,,,,,
5995,,,,,4.0,,,,,,,,,,4.0,,,,,,
6218,,,,,3.5,,,,,,,,,,0.5,,,,,,
6373,,,,,4.0,,,,,,,,,,2.0,,,,,,
6502,,,,,4.0,,,,,,,,,,3.5,,3.0,,,,
6711,,,,,2.5,,,,,,,,,,3.5,4.5,1.5,,,,
6942,,,,,4.0,,,,,,,,,,3.0,,,,,,
8376,,,,,4.0,,,,,,,,,,2.5,,,,,,
8464,,,,,4.0,,,,,,,,,,3.0,,,,,,
8644,,,,,4.0,,,,,,,,,,1.0,,2.0,,,,
30707,,,,,4.5,,,,,,,,,,1.5,,,,,,
30749,,,,,4.5,,,,,,,,,,2.0,,,,,,
30793,,,,,3.5,,,,,,,,,,,,,,,,
33166,,,,,5.0,,,4.5,,,,,,,3.5,,,,,,
33679,,,,,4.0,,,,,,,,,,3.5,,,,,,
34162,,,,,4.5,,,3.5,,,,,,,1.0,,,,,,
35836,,,,,4.0,,,,,,,,,,3.0,,,,,,
40819,,,,,4.5,,,3.5,,,,,,,,,,,,,
41566,,,,,4.0,,,,,,,,,,,,,,,,
41569,,,,,4.0,,,,,,,,,,,,,,,,
48385,,,,,4.5,,,,,,,,,,4.0,,,,,,
111,,,,,,4.0,,,,,,,,,5.0,,5.0,,5.0,,
158,,,,,,2.0,,,,,,,,,,,,,,,
293,,,,,,5.0,,,,,,,,,5.0,,4.0,,4.0,,
1204,,,,,,5.0,,,,,,,,,2.0,,,,4.0,4.5,
1250,,,,,,4.5,,,,,,,,,4.0,,,,4.0,,
1276,,,,,,4.5,,,,,,,,,2.5,,,,4.0,,
1358,,,,,,2.0,,0.5,4.0,5.0,,,,,1.0,,,,,,
1639,,,,,,2.0,,,,,,2.0,,,4.0,,,,,,
1687,,,,,,2.0,,,,,,,,,,,,,,,
1747,,,,,,2.0,,,,,,,,,3.5,,,,,,
1876,,,,,,0.5,,3.5,,,,,,,2.0,,,,,,
1909,,,,,,3.0,,,,,,,,,2.0,,,,,,
2001,,,,,,3.0,,,,,,,,,,,,,,,
2019,,,,,,4.0,,,,,,,,,4.5,,,,3.0,,
2072,,,,,,4.0,,,,,,,,,,,,,,,
2528,,,,,,3.0,,,,,,,,,2.0,,,,,,
2529,,,,,,4.0,,,,,,1.0,,,,,,,,,
2571,,,,,,1.0,,5.0,5.0,5.0,,,3.0,,5.0,,5.0,,,4.5,
2657,,,,,,2.0,,,,,,,,,2.0,,3.0,,,,
2692,,,,,,4.0,,,,,,,,,3.0,,4.5,,,,
2761,,,,,,4.5,,,,,,,4.0,,2.0,,,,,,
2890,,,,,,3.0,,,,4.0,,,,,4.0,,,,,,
3052,,,,,,1.0,,,,,,,,,3.0,,,,,,
3300,,,,,,3.5,,,,,,,,,5.0,,,,,,
3751,,,,,,1.5,,,,,,,,4.0,1.0,,,,,,
4641,,,,,,1.5,,,,,,,,,3.0,,,,,,
4975,,,,,,1.5,,,,,,,,,1.0,,4.0,,,,
5952,,,,,,5.0,,4.0,,,,,,,5.0,,4.5,,,,
7090,,,,,,3.0,,,,,,,,,3.0,,4.0,,,,
8368,,,,,,3.5,,,,,,,,,1.5,,,,,,
8784,,,,,,3.0,,4.5,,,,,,,2.0,,,,,,
8874,,,,,,4.5,,3.0,,,,,,,2.5,,3.5,,,,
1,,,,,,,3.0,,4.0,,,,5.0,,2.0,,,,3.0,3.5,
21,,,,,,,3.0,,,,,,,,4.5,,,,3.0,,
40,,,,,,,4.0,,,,,,,,,,,,,,
151,,,,,,,4.0,,,,,,,,,,,,,,
